user_id,product_id,rating,timestamp
A2SUAM1J3GNN3B,0000013714,5,1384719342
A2SUAM1J3GNN3B,0000031852,3,1384719350
A3SGXH7AUHU8GW,0000013714,4,1384719355
A3SGXH7AUHU8GW,0000031852,5,1399932829
A1D87F6ZCVE5NK,0000013714,1,1388145909
A1D87F6ZCVE5NK,0000031852,2,1390956401
AZGQJKGX0OUJX,0000013714,4,1403161689
AZGQJKGX0OUJX,0000031852,3,1403161700
A2VE83MZF98ITY,0000013714,5,1390956402
A2VE83MZF98ITY,0000031852,5,1390956403
A2SUAM1J3GNN3B,0000042345,5,1404162342
A3SGXH7AUHU8GW,0000042345,4,1402162342
A1D87F6ZCVE5NK,0000042345,3,1399932830
AZGQJKGX0OUJX,0000042345,5,1388145910
A2VE83MZF98ITY,0000042345,2,1390611201
A2SUAM1J3GNN3B,0000056789,3,1403161690
A3SGXH7AUHU8GW,0000056789,4,1390956404
A1D87F6ZCVE5NK,0000056789,1,1404162350
AZGQJKGX0OUJX,0000056789,5,1402162351
A2VE83MZF98ITY,0000056789,2,1399932831
A2SUAM1J3GNN3B,0000067890,3,1388145911
A3SGXH7AUHU8GW,0000067890,5,1390611202
A1D87F6ZCVE5NK,0000067890,4,1403161691
AZGQJKGX0OUJX,0000067890,3,1390956405
A2VE83MZF98ITY,0000067890,5,1404162352
A2SUAM1J3GNN3B,0000078901,2,1402162353
A3SGXH7AUHU8GW,0000078901,1,1399932832
A1D87F6ZCVE5NK,0000078901,5,1388145912
AZGQJKGX0OUJX,0000078901,4,1390611203
A2VE83MZF98ITY,0000078901,3,1403161692
A2SUAM1J3GNN3B,0000089012,1,1390956406
A3SGXH7AUHU8GW,0000089012,2,1404162354
A1D87F6ZCVE5NK,0000089012,5,1402162355
AZGQJKGX0OUJX,0000089012,4,1399932833
A2VE83MZF98ITY,0000089012,3,1388145913
A2SUAM1J3GNN3B,0000090123,4,1390611204
A3SGXH7AUHU8GW,0000090123,5,1403161693
A1D87F6ZCVE5NK,0000090123,2,1390956407
AZGQJKGX0OUJX,0000090123,5,1404162356
A2VE83MZF98ITY,0000090123,2,1402162357
A2SUAM1J3GNN3B,0000101234,3,1399932834
A3SGXH7AUHU8GW,0000101234,4,1388145914
A1D87F6ZCVE5NK,0000101234,1,1390611205
AZGQJKGX0OUJX,0000101234,5,1403161694
A2VE83MZF98ITY,0000101234,2,1390956408
A2SUAM1J3GNN3B,0000112345,3,1404162358
A3SGXH7AUHU8GW,0000112345,4,1402162359
A1D87F6ZCVE5NK,0000112345,3,1399932835
AZGQJKGX0OUJX,0000112345,2,1388145915
A2VE83MZF98ITY,0000112345,5,1390611206
A2SUAM1J3GNN3B,0000123456,4,1403161695
A3SGXH7AUHU8GW,0000123456,5,1390956409
A1D87F6ZCVE5NK,0000123456,2,1404162360
AZGQJKGX0OUJX,0000123456,5,1402162361
A2VE83MZF98ITY,0000123456,3,1399932836
A2SUAM1J3GNN3B,0000134567,1,1388145916
A3SGXH7AUHU8GW,0000134567,2,1390611207
A1D87F6ZCVE5NK,0000134567,5,1403161696
AZGQJKGX0OUJX,0000134567,4,1390956410
A2VE83MZF98ITY,0000134567,3,1404162362
A2SUAM1J3GNN3B,0000145678,2,1402162363
A3SGXH7AUHU8GW,0000145678,1,1399932837
A1D87F6ZCVE5NK,0000145678,5,1388145917
AZGQJKGX0OUJX,0000145678,4,1390611208
A2VE83MZF98ITY,0000145678,3,1403161697
A2SUAM1J3GNN3B,0000156789,1,1390956411
A3SGXH7AUHU8GW,0000156789,2,1404162364
A1D87F6ZCVE5NK,0000156789,5,1402162365
AZGQJKGX0OUJX,0000156789,4,1399932838
A2VE83MZF98ITY,0000156789,3,1388145918
A2SUAM1J3GNN3B,0000167890,4,1390611209
A3SGXH7AUHU8GW,0000167890,5,1403161698
A1D87F6ZCVE5NK,0000167890,2,1390956412
AZGQJKGX0OUJX,0000167890,5,1404162366
A2VE83MZF98ITY,0000167890,2,1402162367
A2SUAM1J3GNN3B,0000178901,3,1399932839
A3SGXH7AUHU8GW,0000178901,4,1388145919
A1D87F6ZCVE5NK,0000178901,1,1390611210
AZGQJKGX0OUJX,0000178901,5,1403161699
A2VE83MZF98ITY,0000178901,2,1390956413
A2SUAM1J3GNN3B,0000189012,3,1404162368
A3SGXH7AUHU8GW,0000189012,4,1402162369
A1D87F6ZCVE5NK,0000189012,3,1399932840
AZGQJKGX0OUJX,0000189012,2,1388145920
A2VE83MZF98ITY,0000189012,5,1390611211
A2SUAM1J3GNN3B,0000190123,4,1403161700
A3SGXH7AUHU8GW,0000190123,5,1390956414
A1D87F6ZCVE5NK,0000190123,2,1404162370
AZGQJKGX0OUJX,0000190123,5,1402162371
A2VE83MZF98ITY,0000190123,3,1399932841
A2SUAM1J3GNN3B,0000201234,1,1388145921
A3SGXH7AUHU8GW,0000201234,2,1390611212
A1D87F6ZCVE5NK,0000201234,5,1403161701
AZGQJKGX0OUJX,0000201234,4,1390956415
A2VE83MZF98ITY,0000201234,3,1404162372
A2SUAM1J3GNN3B,0000212345,2,1402162373
A3SGXH7AUHU8GW,0000212345,1,1399932842
A1D87F6ZCVE5NK,0000212345,5,1388145922
AZGQJKGX0OUJX,0000212345,4,1390611213
A2VE83MZF98ITY,0000212345,3,1403161702
